workload,storage,operation,mean_mbps,max_mbps,min_mbps
large,garage,GET,330.600570572709,366.6640614271205,232.85479892630877
large,minio,GET,1323.274288754404,1953.6283855741826,763.7808997218555
large,seaweedfs,GET,1091.5419055095604,1477.4123436374043,709.0295532198592
large,garage,PUT,96.45099203569005,140.66078009091905,84.18829473044137
large,minio,PUT,149.03070664093445,182.84150724137118,109.76046716693084
large,seaweedfs,PUT,108.21477470856007,149.51640423815113,77.1792794095801
small,garage,GET,233.02948301364603,329.98498293456487,64.43420484225892
small,minio,GET,544.3060079132624,873.4928847261378,38.403685016019104
small,seaweedfs,GET,484.60291107123123,684.5875062094467,98.29823796432251
small,garage,PUT,74.62677421941015,119.7592764279245,4.345474163196786
small,minio,PUT,117.2088748889473,150.8618967046429,4.633008977969307
small,seaweedfs,PUT,76.7383181133607,107.65587214243128,4.501429097314152
