workload,storage,operation,p50_ms,p95_ms,p99_ms
large,garage,DELETE,1.3146664859959856,2.008391711569857,2.5681699896813375
large,minio,DELETE,1.0297704866388813,1.5592038369504733,1.7433460976462816
large,seaweedfs,DELETE,0.8730419940548018,1.409866631729528,1.6346820991020754
large,garage,GET,233.677729498595,278.64890385972103,292.5939285795903
large,minio,GET,56.06302099477034,61.12831045611529,64.65470534632917
large,seaweedfs,GET,65.35481300670654,88.68278155277947,97.99957457784333
large,garage,PUT,813.2423750066664,848.6913253611419,874.6167731031894
large,minio,PUT,667.875813000137,705.7127090214635,717.1775373254786
large,seaweedfs,PUT,794.7585204965435,991.7876972496742,1612.4143720654017
small,garage,DELETE,1.168415998108685,2.0142562498222105,2.80813835997833
small,minio,DELETE,0.8015619969228283,0.874506244144868,1.0066828373237517
small,seaweedfs,DELETE,0.7352079992415383,0.8264211530331521,0.8670460124267266
small,garage,GET,46.276666995254345,52.204921131487936,53.64771699503763
small,minio,GET,1.5005625027697533,1.7339999918476678,2.511447919823702
small,seaweedfs,GET,1.637374996789731,1.8917625260655766,2.324550163175445
small,garage,PUT,13.905166502809152,15.250906253641006,17.64825950405794
small,minio,PUT,8.07552099286113,9.509421441180164,11.346719393332023
small,seaweedfs,PUT,12.127041511121206,13.723869359819219,16.51375001121779
